Lecture,9:05-10:55,10:00-10:55,10:55-11:50,11:50-12:45,12:45-13:40,13:40-14:35,14:35-15:30,15:30-16:25
Monday,1,0,0,0,1,1,1,0
Tuesday,0,1,0,1,0,0,0,0
Wednesday,0,0,1,0,1,0,0,0
Thrusday,1,1,1,0,0,0,1,1
Friday,1,0,1,1,0,0,0,0
